subject,tags,rating,votes,ratings,原名,发售日期,碟片数量,艺术家,价格,作曲,播放时长,厂牌,编曲,作词,版本特性,录音,别名,发行商,中文名,插图,制作人,商品编号,介质,英文名,Conductor,编号,Piano,Keyboard,Drums,Band,Choir,Orchestra,Arrangement,Sound Director,官方网站,原作,ASIN,发布,制作,条型码,品番
217401,梶浦由記 魔法少女まどか☆マギカ 魔法少女小圆 OP ED 2017 Collection 梶浦由记 2017年 anime 角色歌 BEST 动画 OST 水橋かおり 圆神 kalafina アニソン 一心二用 动画歌曲 其他 过期食品 先上车后补票 野中藍 ClariS 斎藤千和 剧场版 喜多村英梨 VOCAL 悠木碧,8.775,129,"['31', '53', '32', '11', '2', '0', '0', '0', '0', '0']",「魔法少女まどか☆マギカ」 Ultimate Best,2017-08-09,2,ClariS / 鹿目まどか(CV:悠木碧) / 暁美ほむら(CV:斎藤千和) / 美樹さやか(CV:喜多村英梨) / 佐倉杏子(CV:野中藍) / 巴マミ(CV:水橋かおり) / Kalafina,"￥ 3,780",梶浦由記,,Aniplex,梶浦由記,,CD+DVD / Limited Edition,,,,《魔法少女小圆》 Ultimate Best,,,,,,,,,,,,,,,,,,,,,,
3667,OST 菅野洋子 菅野よう子 攻壳机动队SAC 攻殻機動隊 攻壳机动队 2003 ORIGA 神曲 anime 动画 STAND COMPLEX HIDE Scott_Matthew Alone New_Age ACG ED TV Ilaria_Graziano O.S.T.,8.731,186,"['49', '64', '60', '10', '1', '0', '0', '0', '0', '2']",攻殻機動隊 STAND ALONE COMPLEX O.S.T.,2003-01-22,1,HIDE / Ilaria Graziano / Scott Matthew / Origa,"￥ 3,045",菅野よう子,70 分,ビクターエンタテインメント,,Tim Jensen / troy / Origa / Shanti Snyder / Chris Mosdell / Gabriela Robin(菅野よう子),Soundtrack,Victor studio / Soundcity Studio / Greenbird Studio,GHOST IN THE SHELL STAND ALONE COMPLEX O.S.T.,ビクターエンタテインメント,,,菅野よう子,,,,,,,,,,,,,,,,,,,,
4149,kalafina 梶浦由記 空之境界 杀人考察后 空の境界 2009 ED 神曲 ACG 全theme收集 梶浦由记 album anime SME Theme アニメ 动画 主题歌集 TM 哀婉 アニソン 2016 杀人考察 seventh_heaven 2009年 艺人专辑 VOCAL Type-Moon 神作 cd,8.671,441,"['107', '147', '135', '42', '7', '3', '0', '0', '0', '0']",Seventh Heaven,2009-03-04,1,Kalafina,"￥ 3,059",梶浦由記,66 分,SME Records,梶浦由記,梶浦由記,,SME Records,,,,,,,,,,,,,,,,,,,,,,,,,
5855,EVA OST 鹭巢诗郎 鷺巣詩郎 ヱヴァンゲリヲン新劇場版 林原めぐみ 2009 anime 新世紀エヴァンゲリオン 动画 杉並児童合唱団 2011- ザ・ピーナッツ 金子詔一 2015 今陽子 新世纪交响风 Mozart Tr₇Sr₊ ピンキーとキラーズ 宫川泰 スターチャイルド 林原惠 アニメ 日本 动漫电影原声带 村井邦彦 船山基紀 Evangelion2:0 井上堯之,8.675,277,"['63', '105', '75', '26', '6', '2', '0', '0', '0', '0']",ヱヴァンゲリヲン新劇場版:破 オリジナルサウンドトラック SPECIAL EDITION,2009-07-08,2,The London Studio Orchestra、林原めぐみ、杉並児童合唱団、ザ・ピーナッツ、今陽子、ピンキーとキラーズ,"￥ 3,300",鷺巣詩郎、井上隆之、Wolfgang Amadeus Mozart、金子詔一、村井邦彦、宮川泰、いずみたく,137 m,キングレコード,鷺巣詩郎、Fernando Sor、船山基紀、宮川泰、いずみたく、天野正道,金子詔一、山上路夫、岩谷時子、Mike Wyzgowski,,キングレコード,EVANGELION:2.0 YOU CAN (NOT) ADVANCE. Original Sound Track,キングレコード,,,,,,,,,,,,,,,,,,,,,,,
13211,Falcom 双星物语 OST Zwei!! 游戏原声 Arrange ZWEI 日本ファルコム 2002 游戏音乐 日本 ACG GAME,9.370,27,"['16', '8', '1', '1', '1', '0', '0', '0', '0', '0']",Zwei!! Super Arrange Version,2002-12-19,1,,￥2940,Falcom Sound Team jdk(園田隼人、石橋渡、服部麻衣子、白川篤史(天門)),53:17,日本ファルコム,Falcom Sound Team jdk,,专辑,Falcom,「ツヴァイ!!」スーパーアレンジバージョン,,《双星物语》超级混音版,七瀬葵,,,,,,,,,,,,,,,,,,,,,
861,SoundHorizon Moira 史诗感 SH 神作 revo 希腊风 StroyCD Sound_Horizon二期 Moria 2008 完全体 S.H Sound_Horizon G弦上的魔王 史诗 REVO神 失败 JIMANG SoundHrizon 专辑 V.A. 物语音乐 伪中庸 Sound.Horizon 恨不能再扩展 恨不能打更高分 物語音樂 OST 同人音樂,8.656,422,"['115', '132', '117', '39', '15', '1', '2', '1', '0', '0']",Moira,2008-09-03,1,Sound Horizon、井上麻里奈、Jimang,"￥ 3,000",,80 m,,,,,King Records =music=,,King Records,,Yokoyan,,,,,,,,,,,,,,,,,,,,,
4276,澤野弘之 OST 機動戦士ガンダムUC GUNDAM 神OST 2010 泽野弘之 幼女控赛高 anime UC 动漫原声带 高达 日本 九星 动画 ROBO 推销成功 先上车后补票 一心二用 已购入 Cyua 機動戦士ガンダム AVG アニメ 井上優弥子 河合夕子,8.660,377,"['66', '163', '119', '18', '9', '1', '0', '0', '0', '1']",機動戦士ガンダムUC ORIGINAL SOUNDTRACK,2010-03-10,1,Cyua、井上優弥子、河合夕子,3100円,澤野弘之,77分钟,ミュージックレイン,澤野弘之,mpi、Rie,Blu-spec CD,ミュージックレイン,机动战士高达独角兽原声集,ミュージックレイン,机动战士高达UC OST,,,,,Mobile Suit Gudam Unicorn Original SoundTrack,,,,,,,,,,,,,,,,,
13011,wowaka Vocaloid アンハッピーリフレイン 迷の中毒性 初音ミク 2011 同人音樂 JPOP ★Vocaloid 神砖 album 已经购入 pagodes R.I.P 已整理 acane_madder キャプミラP Voc@loid v家 同人音乐 Dixie_Flatline 同人 songs whoo 阿部尚徳,8.728,169,"['43', '61', '50', '11', '2', '1', '0', '0', '1', '0']",アンハッピーリフレイン,2011-05-18,,wowaka(現実逃避P) feat. 初音ミク、pagodes,"￥ 2,500",wowaka(現実逃避P),,BALLOOM,wowaka(現実逃避P)、キャプテンミライ(キャプミラP)、acane_madder、とく(阿部尚徳)、whoo、Dixie Flatline,wowaka(現実逃避P),,BALLOOM,UNHAPPY REFRAIN,BALLOOM,,,,,,,,,,,,,,,,,,,,,,,
10498,OST 癒月 dai 神曲 ひぐらしのなく頃に 2005 You ひぐらしのなく you(Vocal) TV 寒蝉鸣泣之时 推荐 动画原声 アニメ 同人,8.759,133,"['30', '56', '33', '13', '1', '0', '0', '0', '0', '0']",ひぐらしのなく頃に解 Original Sound Version & Extra Sounds Thanks／You,2005-08,1,dai、癒月,1000円,dai、癒月,52m,,,癒月,同人音楽,,Thanks／You,,蝉鸣之时解音乐集,,,,,,,,,,,,,,,,,,,,,,
52273,KIRA☆KIRA 摇滚 OST 第二文芸部 青春 2008 milktub 椎野きらり TIME!! galgame show HAPPY_CYCLE_MANIA キラ☆キラ MA STAR_GENERATION 补 遠藤正明 YURIA 2008年 OVERDRIVE AiRI,8.935,62,"['24', '20', '13', '4', '0', '0', '0', '0', '1', '0']",Kira☆Kira Show Time!!,2008/2/27,,HAPPY CYCLE MANIA / 第二文芸部 / 椎野きらり / STAR GENERATION、遠藤正明、YURIA、AiRI,"￥ 3,000",milktub,38 m,,,,CD,Lantis(K)(M),,Lantis(K)(M),,,,,,,,,,,,,,,,,,,,,,,
