subject,tags,rating,votes,ratings,原名,发售日期,碟片数量,艺术家,价格,作曲,播放时长,厂牌,编曲,作词,版本特性,录音,别名,发行商,中文名,插图,制作人,商品编号,介质,英文名,Conductor,编号,Piano,Keyboard,Drums,Band,Choir,Orchestra,Arrangement,Sound Director,官方网站,原作,ASIN,发布,制作,条型码,品番
13212,OST Falcom 双星物语 Zwei!! 天門 ACG GAME 2001 ZWEI 園田隼人 补 游戏原声 游戏音乐 VGM ef 天门 日本 JDK,8.980,51,"['17', '21', '9', '3', '1', '0', '0', '0', '0', '0']",Zwei!! Original Sound Track,2001-12-20,2,,"￥ 6,517",Falcom Sound Team jdk(園田隼人、石橋渡、服部麻衣子、白川篤史(天門)),,日本ファルコム,,,专辑,,オリジナル・サウンドトラック 「ツヴァイ！！」,,《双星物语》原声大碟,七瀬葵,,,,,,,,,,,,,,,,,,,,,
134535,OST 松田彬人 響け!ユーフォニアム 2015 吹响吧！上低音号 动画 anime ACG ED OP 響け！ユーフォニアム 京阿尼 吹响吧 悠风号 朝井彩加 ！悠风号 辛苦洗足学園音楽大学 京都アニメーション ，高坂丽奈 动画原声 京都动画 田坂直樹 2017 YMO 安済知佳 zaq 九星 动漫原声 好听 交响乐,8.664,247,"['39', '105', '87', '14', '1', '1', '0', '0', '0', '0']",響け! ユーフォニアム Original Soundtrack「おもいでミュージック」,2015-07-08,2,北宇治カルテット[黄前久美子(CV.黒沢ともよ) / 加藤葉月(CV.朝井彩加) / 川島緑輝(CV.豊田萌絵) / 高坂麗奈(CV.安済知佳)] / 唐沢美帆,"￥3,780",松田彬人 / 菊池俊輔 / Jacques Offenbach / Antonín Dvořák / J.M. Fulton / John Philip Sousa / Luigi Denza / 高橋幸宏 / 奥華子 / Nikolai Andreyevich Rimsky-Korsakov / 田坂直樹 / ZAQ / 加藤裕介,142 分,ランティス,松田彬人 / 小島里美 / Alfred Reed / 和田直也 / 田坂直樹 / 高田暁 / 加藤裕介,ZAQ / 唐沢美帆,,文化村スタジオ / Sound City Studio / VICTOR STUDIO,おもいでミュージック,,,,,,,,,,,,,,,,,,,,,,,,
151968,OST 水月陵 恋×シンアイ彼女 galgame 2015年 2015 AVG,8.903,62,"['21', '20', '15', '6', '0', '0', '0', '0', '0', '0']",恋×シンアイ彼女 Original Sound Tracks,2015-10-30,1,Duca / yuiko,,水月陵 / 宮崎京一 / Meis Clauson,39 分,Us:track,宮崎京一 / Meis Clauson,Duca / yuiko,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,kalafina 梶浦由纪 空の境界 空之境界 梶浦由記 ED 俯瞰风景 2008 神作 空境 剧场版主题曲 梶浦由记 TM single anime Theme 神曲 oblivious 动画 Main_Theme 已整理 已经购入 中庸 2008年 2016 剧场版 主题曲 Type-Moon ACG j-pop,8.610,615,"['125', '221', '196', '59', '9', '4', '0', '0', '0', '1']",oblivious,2008-01-23,1,Kalafina、戸丸華江、貝田由里子,"￥ 2,000",梶浦由記,14 分,SME Records,梶浦由記,梶浦由記,"Single, Maxi",SME Records,,,,,,,,,,,,,,,,,,,,,,,,,
3181,SoundHorizon 圣戦のイベリア revo 2007 SH风格代表作 SH 圣战 Sound_Horizon 伊比利亚 同人音乐 光复运动 全唱得下来 物语音乐 horizon 恨不能打更高分 kaori 诗歌风格 史诗 Sound.Horizon 专辑 Remi 同人 同人音樂 織田かおり sound SingleCD EP Yuuki,8.658,257,"['62', '82', '83', '24', '5', '1', '0', '0', '0', '0']",聖戦のイベリア,2007-08-01,,Sound Horizon,"￥ 1,200",,17 m,キングレコード,,,Single / Maxi,"KINGRECORDS.CO.,LTD(K)(M)",,"KINGRECORDS.CO.,LTD(K)(M)",,Yokoyan,,,,,,,,,,,,,,,,,,,,,
8926,梶浦由記 晓之车 神曲 南里侑香 FictionJunction SEED 暁の車 高达SEED 插入曲 高达 2004 YUUKA 梶浦由记 IN OST ED 动画 anime ACG アニメ 动漫主题曲 single 女声 动画OP FictionJunction_YUUKA 2004年 平静 已整理 Interlude 已经购入,8.609,493,"['98', '183', '148', '52', '10', '1', '1', '0', '0', '0']",暁の車,2004-09-22,1,FictionJunction YUUKA(梶浦由記&南里侑香),"￥ 1,000",梶浦由記,17 分,ビクターエンタテインメント,梶浦由記,梶浦由記,Single / Maxi,,,ビクターエンタテインメント,晓之车,,,,,,,,,,,,,,,,,,,,,,
15955,ZONE base～君がくれたもの～ 催泪 十年前 那朵花 神曲 2001 j-pop 治愈系 ～君がくれたもの～ secret 秘密 anime 基地 我们仍未知道那天所见的花的名字 single 专辑 Band ED Main_Theme 2001年 TM 動畫OST 中庸 base 动画 治愈 あの花 OST 日本音乐,8.606,436,"['85', '162', '135', '44', '8', '1', '0', '1', '0', '0']",secret base～君がくれたもの～,2001-08-08,1,ZONE,"1,223日元",,16 m,,,,Maxi,ソニーレコード,,ソニーレコード,,,,,,,,,,,,,,,,,,,,,,,
5931,EVA ED 宇多田光 世界神曲 神曲 Claire 1995 ACG 动画 动漫主题曲 rei single ClaireLittley ayanami anime 1995年 大森俊之 OPED Co. 外语 新世纪福音战士 flymetothemoon ROBO 平静 King 8cm fly_me_to_the_moon アニメ 宇多田ヒカル 怀旧,8.603,459,"['98', '171', '125', '48', '11', '4', '2', '0', '0', '0']",FLY ME TO THE MOON,1995-10-25,,Claire,"￥ 1,020",,,キングレコード,大森俊之,,Single,,,King Record Co.,,,,,,,,,,,,,,,,,,,,,,,
10451,SoundHorizon 黑童话 Märchen 第七地平线 revo 七宗罪 REVO神 卖肾 SH 马鹿好萌！ 童話 2010 红蓝王子 马鹿马鹿 over国王 物語音樂 物语音乐 伪中庸 2010年 Sound.Horizon 物語音楽 已购入 LP V.A. 专辑 Vocaloid 沢城みゆき album 同人音乐 同人音樂,8.615,338,"['77', '127', '80', '41', '10', '1', '1', '1', '0', '0']",Märchen,2010-12-15,,Sound Horizon、Minami、Jimang、沢城みゆき、大塚明夫、飛田展男、中村悠一、谷井あすか、藤田咲、大川透,"￥ 3,000",,77 m,キングレコード,,,,キングレコード,Marchen,キングレコード,,Yokoyan,Revo,,,,,,,,,,,,,,,,,,,,
17,SoundHorizon Aramary lost 神作 第三地平线 revo 永远的少年 SH REVO神 2002 同人音乐 SoundHorizon~ 同人 Sound_Horizon JIMANG 专辑 物语音乐 CANAAN 少年 伪中庸 2002年 021230 物語音楽 あらまり Sound.Horizon ~~ 同人音樂 怨念物 J禁 SHK,8.608,401,"['88', '139', '113', '51', '10', '0', '0', '0', '0', '0']",Lost,2002-12-30,1,Sound Horizon、Aramary、Jimang,,,,,,,,,,,,Yokoyan,Revo,,,,,,,,,,,,,,,,,,,,
102901,OST 增田俊郎 虫师 2014 増田俊郎 蟲師 虫师续章 动画相关 动漫原声带 治愈 2014年,8.790,81,"['27', '26', '19', '7', '1', '0', '0', '0', '0', '1']",蟲音 続,2014-06-25,1,,"￥ 3,240",増田俊郎,,Aniplex,増田俊郎,,,アニプレックス、Aniplex,,アニプレックス,,,,,,,,,,,,,,,,,,,,,,,
7733,EVA OP 新世紀エヴァンゲリオン ED 高桥洋子 1995 高橋洋子 Claire ACG 动漫主题曲 anime 动画 8cm single OP_ED キングレコード 佐藤英敏 动画歌曲 OPED アニメ アニソン 日本 一心二用 先上车后补票 神曲 ROBO 无 Bart_Howard 大森俊之 世界神曲,8.610,313,"['58', '131', '83', '33', '5', '2', '0', '0', '0', '1']",残酷な天使のテーゼ / FLY ME TO THE MOON,1995-10-25,1,Claire 高橋洋子,￥ 918,Bart Howard、佐藤英敏,9 分,キングレコード,大森俊之,Bart Howard、及川眠子,Single,キングレコード,,キングレコード,,,,,,,,,,,,,,,,,,,,,,,
296,SoundHorizon Roman 商业化 美丽之物 REVO国王 SH Sound_Horizon二期 revo 双子人偶 2006 CV Sound_Horizon 增加歌姬 album 物语音乐 专辑 2006年 Sound.Horizon 伪中庸 kaori 文字的传说 Remi 商业 Sound·Horizon 第五地平线 美しきもの 物語音楽 已购入 LP 061122,8.582,638,"['139', '212', '204', '57', '22', '1', '1', '1', '1', '0']",Roman,2006-11-22,1,Sound Horizon、Jimang,,,73m,,,,,"KINGRECORDS.CO.,LTD(K)(M)",,"KINGRECORDS.CO.,LTD(K)(M)",,Yokoyan,Revo,,,,,,,,,,,,,,,,,,,,
193999,三輪学 OST 2016 缘之空 Team.ねこかん【猫】　eufonius Collection 2016年,8.877,57,"['15', '25', '12', '5', '0', '0', '0', '0', '0', '0']",ヨスガノソラ オリジナルサウンドトラック／オープニング主題歌＆番組挿入歌アルバム,2016/9/21,1,eufonius、天乙准花,"￥ 2,700",Bruno Wen-li(市川淳)、三輪学、菊地創、nyanyannya,1:52:19,キングレコード,Bruno Wen-li(市川淳)、菊地創、nyanyannya、中島ノブユキ,riya、nyanyannya,CD,,,,缘之空 原声带&歌曲集,,,,,,,,,,,,,,,,,,,,,,
